run_name,noise_type,noise_idx,p_nhs,logit_nhs,penult_norm,penult_n_active,is_zero_vector
baseline_noweight_seed1,binary_p0.3,6,0.2242467701435089,-1.2411,3.3207,5,False
baseline_noweight_seed1,binary_p0.3,7,0.2721150815486908,-0.9839,2.8932,3,False
baseline_noweight_seed1,binary_p0.3,8,0.2674960196018219,-1.0074,2.4513,5,False
baseline_noweight_seed1,binary_p0.3,9,0.23915202915668488,-1.1573,3.1537,6,False
baseline_noweight_seed1,binary_p0.3,10,0.20663858950138092,-1.3453,3.558,5,False
baseline_noweight_seed1,binary_p0.3,11,0.1717795729637146,-1.5731,3.5246,5,False
baseline_noweight_seed1,binary_p0.3,12,0.20675460994243622,-1.3446,3.4769,5,False
baseline_noweight_seed1,binary_p0.3,13,0.24494442343711853,-1.1258,2.8132,5,False
baseline_noweight_seed1,binary_p0.3,14,0.24104712903499603,-1.1469,3.2996,5,False
baseline_noweight_seed1,binary_p0.3,15,0.20086626708507538,-1.3809,3.3061,5,False
baseline_noweight_seed1,binary_p0.3,16,0.24841077625751495,-1.1071,3.0877,4,False
baseline_noweight_seed1,binary_p0.3,17,0.26046422123908997,-1.0436,2.9925,4,False
baseline_noweight_seed1,binary_p0.3,18,0.17218510806560516,-1.5702,3.4256,4,False
baseline_noweight_seed1,binary_p0.3,19,0.273213654756546,-0.9784,2.9367,4,False
baseline_noweight_seed1,binary_p0.3,20,0.22143298387527466,-1.2573,3.4491,6,False
baseline_noweight_seed1,binary_p0.3,21,0.2546251118183136,-1.0741,2.6528,5,False
baseline_noweight_seed1,binary_p0.3,22,0.21628063917160034,-1.2875,3.489,4,False
baseline_noweight_seed1,binary_p0.3,23,0.23725354671478271,-1.1678,3.0649,5,False
baseline_noweight_seed1,binary_p0.3,24,0.20819750428199768,-1.3358,2.6622,6,False
baseline_noweight_seed1,binary_p0.3,25,0.24092474579811096,-1.1476,3.2418,4,False
baseline_noweight_seed1,binary_p0.3,26,0.24216552078723907,-1.1408,3.0705,5,False
baseline_noweight_seed1,binary_p0.3,27,0.21143591403961182,-1.3163,3.378,6,False
baseline_noweight_seed1,binary_p0.3,28,0.23381245136260986,-1.1869,2.9488,5,False
baseline_noweight_seed1,binary_p0.3,29,0.26127099990844727,-1.0394,3.1783,3,False
baseline_noweight_seed2,uniform,0,0.0020321470219641924,-6.1966,11.1486,9,False
baseline_noweight_seed2,uniform,1,0.0016951769357547164,-6.3783,11.3017,9,False
baseline_noweight_seed2,uniform,2,0.001529930392280221,-6.481,11.1981,9,False
baseline_noweight_seed2,uniform,3,0.0014867129502817988,-6.5097,11.0592,9,False
baseline_noweight_seed2,uniform,4,0.0012913130922243,-6.6508,11.3907,9,False
baseline_noweight_seed2,uniform,5,0.0020421359222382307,-6.1917,10.8882,9,False
baseline_noweight_seed2,uniform,6,0.0017269119853153825,-6.3597,11.0617,9,False
baseline_noweight_seed2,uniform,7,0.0016376940766349435,-6.4128,11.0705,9,False
baseline_noweight_seed2,uniform,8,0.002198735950514674,-6.1177,11.1515,9,False
baseline_noweight_seed2,uniform,9,0.0020026746205985546,-6.2113,10.9196,9,False
baseline_noweight_seed2,uniform,10,0.0017135972157120705,-6.3674,11.0447,9,False
baseline_noweight_seed2,uniform,11,0.0027698944322764874,-5.8862,10.6443,9,False
baseline_noweight_seed2,uniform,12,0.001545684994198382,-6.4707,11.3068,9,False
baseline_noweight_seed2,uniform,13,0.001804853556677699,-6.3155,11.1471,9,False
baseline_noweight_seed2,uniform,14,0.0012861602008342743,-6.6548,11.3245,9,False
baseline_noweight_seed2,uniform,15,0.001545111183077097,-6.4711,11.1716,9,False
baseline_noweight_seed2,uniform,16,0.0018477212870493531,-6.292,11.0264,9,False
baseline_noweight_seed2,uniform,17,0.0015271687880158424,-6.4828,10.9681,9,False
baseline_noweight_seed2,uniform,18,0.001984603935852647,-6.2203,11.2057,9,False
baseline_noweight_seed2,uniform,19,0.001604381832294166,-6.4334,11.1617,9,False
baseline_noweight_seed2,uniform,20,0.0022309781052172184,-6.1031,10.8907,9,False
baseline_noweight_seed2,uniform,21,0.0013246232410892844,-6.6253,11.1914,9,False
baseline_noweight_seed2,uniform,22,0.001162996399216354,-6.7556,11.5807,9,False
baseline_noweight_seed2,uniform,23,0.0015531983226537704,-6.4659,11.1981,9,False
baseline_noweight_seed2,uniform,24,0.0015687445411458611,-6.4559,11.4666,9,False
baseline_noweight_seed2,uniform,25,0.001676947926171124,-6.3891,11.2426,9,False
baseline_noweight_seed2,uniform,26,0.0018247910775244236,-6.3045,10.774,9,False
baseline_noweight_seed2,uniform,27,0.001812844187952578,-6.311,11.0009,9,False
baseline_noweight_seed2,uniform,28,0.0017558987019583583,-6.343,11.0339,9,False
baseline_noweight_seed2,uniform,29,0.0014407453127205372,-6.5412,11.6348,9,False
baseline_noweight_seed2,binary_p0.3,0,0.0018388577736914158,-6.2968,11.3892,9,False
baseline_noweight_seed2,binary_p0.3,1,0.000934435345698148,-6.9746,11.7018,9,False
baseline_noweight_seed2,binary_p0.3,2,0.0012212342116981745,-6.7067,11.557,9,False
baseline_noweight_seed2,binary_p0.3,3,0.0013756905682384968,-6.5874,11.4244,9,False
baseline_noweight_seed2,binary_p0.3,4,0.0009761304245330393,-6.9309,11.7208,9,False
baseline_noweight_seed2,binary_p0.3,5,0.0007367155631072819,-7.2126,12.0676,9,False
baseline_noweight_seed2,binary_p0.3,6,0.001119987340644002,-6.7933,11.6522,9,False
baseline_noweight_seed2,binary_p0.3,7,0.0011305117513984442,-6.784,11.3373,9,False
baseline_noweight_seed2,binary_p0.3,8,0.0013489009579643607,-6.6071,11.8864,9,False
baseline_noweight_seed2,binary_p0.3,9,0.0014195037074387074,-6.556,11.3279,9,False
baseline_noweight_seed2,binary_p0.3,10,0.0010567089775577188,-6.8515,11.8372,9,False
